Time,Rounding Mode,fp_X,fp_Y,fp_Z,fp_Z Expected,fp_Z 64 bits
2725, 3, 1b10446c, 289f99a6, 433e22c, 433e22c, 38867c45613a8200
2865, 4, 7146d375, d9b13238, ff800000, ff800000, 38867c45613a8200
3065, 3, 29caa7e, 47c07e42, aeb9a46, aeb9a46, 395d7348b37e1f00
3245, 0, ce8146b6, 39753513, c877a6f3, c877a6f3, c10ef4de5a7b6080
3345, 3, 3a25361b, 6158d1b2, 5c0becfb, 5c0becfb, 43817d9f5a7538c0
3435, 2, 7691541a, c3e3f549, fb0168d2, fb0168d2, c7602d1a3f7bad40
3525, 4, e8d079d8, a455cf77, 4dae1e54, 4dae1e54, 41b5c3ca84c96d00
3645, 3, e134027f, 9eb07b3a, 407830bb, 407830bb, 400f061752e57180
3765, 3, c991d973, 3655ea33, c073beb5, c073beb5, c00e77d6a01bfa40
3815, 4, 7a506925, 171039f8, 51ead4ac, 51ead4ac, 423d5a9587c63600
3965, 1, 59a8a052, d3f82497, ee237369, ee237369, c5c46e6d2e430bc0
4065, 4, 581f5c69, f7ff663b, ff800000, ff800000, c5c46e6d2e430bc0
4105, 0, 95828c65, 5b420449, b145e128, b145e128, be28bc24fd673340
4175, 1, 9008a881, 94468479, 0, 0, be28bc24fd673340
4215, 2, 96957309, 70c9837, 80000000, 80000000, be28bc24fd673340
4325, 3, af0cd5b2, 85c49599, 0, 0, be28bc24fd673340
4435, 1, 8f0fa368, 70de90c5, c079c1dd, c079c1dd, c00f383ba8cfc200
4565, 4, 96339f47, 62d02930, b9920e50, b9920e50, bf3241c9fc078a00
4745, 3, b430cbbf, 284eff0a, 9d0ef415, 9d0ef415, bba1de82b1a6cec0
4825, 2, 9a05c828, 9068ea42, 0, 0, bba1de82b1a6cec0
4885, 2, 647cab17, 2cf4d866, 51f1a8a6, 51f1a8a6, 423e3514de726540
4935, 0, 50c87d5c, 44545840, 55a64ced, 55a64ced, 42b4c99dacdee000
4975, 3, 44eb1584, 8f04119b, 94728e85, 94728e85, ba8e51d0b4f2bb00
5075, 0, 9cb89d29, 89176044, 0, 0, ba8e51d0b4f2bb00
5105, 4, 77cb3f13, dd72dd55, ff800000, ff800000, ba8e51d0b4f2bb00
5155, 2, 16f34cc8, 0, 0, 0, ba8e51d0b4f2bb00
5255, 0, 104a2f55, 25fc6ce2, 0, 0, ba8e51d0b4f2bb00
5335, 4, ece32b7b, ffc00000, 7fc00000, 7fc00000, ba8e51d0b4f2bb00
5505, 0, 8f80e5d1, c27e40a2, 12800490, 12800490, 3a5000920c75c840
5695, 4, 92ad7c4, 36384ee7, 0, 0, 3a5000920c75c840
5885, 2, 5e5b518a, 5368a4fb, 72474f3c, 72474f3c, 4648e9e78aab49c0
5995, 0, 78b83ae1, a47ec0d9, ddb75534, ddb75534, c3b6eaa672151720
6155, 3, 54b502d, da8b39df, a05d24fc, a05d24fc, bc0ba49f98f70cc0
6175, 3, 4b64fcfd, 774486ec, 7f800000, 7f800000, bc0ba49f98f70cc0
6245, 3, 29cbdef4, a3fef00d, 8e4b0661, 8e4b0661, b9c960cc2ee24c80
6295, 1, 91bd0ce4, 3f1ed37f, 916a9448, 916a9448, ba2d528908544700
6435, 2, 526b11c7, 76016993, 7f800000, 7f800000, ba2d528908544700
6595, 4, dadf4c82, 9e873041, 39ebd6df, 39ebd6df, 3f3d7adbe6334080
6715, 4, 0, 3d344f67, 0, 0, 3f3d7adbe6334080
6825, 1, 7b96addd, 29b05e49, 65cf9e0d, 65cf9e0d, 44b9f3c1afae8140
6855, 3, 0, 6b8a7deb, 0, 0, 44b9f3c1afae8140
7025, 3, 68f5940e, 3730378d, 60a90b14, 60a90b14, 441521627631b6c0
7085, 0, 7f800000, efdde936, ff800000, ff800000, 441521627631b6c0
7285, 3, 8d9dcf93, 980be7c1, 0, 0, 441521627631b6c0
7405, 0, 4a269259, d7fda40f, e2a50961, e2a50961, c454a12c2f12e6e0
7535, 1, 0, 29831751, 0, 0, c454a12c2f12e6e0
7705, 3, 704efb68, 1f4fbadb, 5027f45d, 5027f45d, 4204fe8b9a543f00
7755, 3, 0, 350ffab6, 0, 0, 4204fe8b9a543f00
7945, 3, 13327581, c9402b7a, 9d05f66f, 9d05f66f, bba0becdf1154f40
8025, 2, 7fc00000, 80000000, 7fc00000, 7fc00000, bba0becdf1154f40
8055, 4, 13a52277, d6f367e1, ab1d02b9, ab1d02b9, bd63a0571ec572e0
8125, 1, 204ccd5b, 9b4c58ab, 80000000, 80000000, bd63a0571ec572e0
8315, 1, f0a8a43a, 69aabff4, ff800000, ff800000, bd63a0571ec572e0
8345, 3, 7adfd6a9, 54d18298, 7f800000, 7f800000, bd63a0571ec572e0
8415, 3, bbfaf007, c490ecab, 410e0f01, 410e0f01, 4021c1e01a9915a0
8525, 3, cc546de6, 1f7789d6, ac4d6869, ac4d6869, bd89ad0d29be8880
8545, 1, 7e670885, 0, 0, 0, bd89ad0d29be8880
8615, 1, 128d5159, 5f30dca9, 32434378, 32434378, 3e48686f18cbf040
8685, 3, cfd9606c, 3ed1b039, cf320d5a, cf320d5a, c1e641ab5b970180
8725, 2, 9a332a97, 36324bf5, 90f9918c, 90f9918c, ba1f32317bffe0c0
8875, 3, 2b15b52f, 39b621d6, 25550532, 25550532, 3caaa0a63aa11280
8955, 4, ff800000, 2034a478, ff800000, ff800000, 3caaa0a63aa11280
8985, 1, c24ee3fc, fec46be7, 7f800000, 7f800000, 3caaa0a63aa11280
9015, 4, b317cd7c, f1aea778, 654f21f1, 654f21f1, 44a9e43e1f0d8800
9195, 4, adfe333c, 3cc58dd5, ab442a43, ab442a43, bd6885485c959d80
9265, 1, 50490414, 840348e1, 94ce2ca0, 94ce2ca0, ba99c594038d6500
9325, 1, ed6cd93b, d9d01a0, bb9142ba, bb9142ba, bf72285741fffc00
9445, 2, 0, ceb1f942, 80000000, 80000000, bf72285741fffc00
9595, 4, 7fc00000, f2efd657, 7fc00000, 7fc00000, bf72285741fffc00
9765, 0, 5a5cb1f8, f1846f45, ff800000, ff800000, bf72285741fffc00
9815, 0, 43cd446f, fb8f79d4, ff800000, ff800000, bf72285741fffc00
9985, 0, fcee0238, ab279be6, 689bd464, 689bd464, 45137a8c76bcca00
10145, 3, 8379e105, be1553af, 211c1a7, 211c1a7, 38423834d5ce2d60
10285, 0, f487d405, 3466b387, e974cf7b, e974cf7b, c52e99ef579368c0
10465, 3, 6560608, 7fc00000, 7fc00000, 7fc00000, c52e99ef579368c0
10615, 1, 97dc2a34, a802a410, 0, 0, c52e99ef579368c0
10815, 2, fd3cfca7, ce679927, 7f800000, 7f800000, c52e99ef579368c0
10905, 1, 3aa044a1, aeb9e57, 6138220, 6138220, 38c2704413b616e0
10935, 1, 6464918d, e1cabce3, ff800000, ff800000, 38c2704413b616e0
10985, 4, 7fc00000, 7f800000, 7fc00000, 7fc00000, 38c2704413b616e0
11065, 3, 72e1dfd, 7e10e664, 45c51b23, 45c51b23, 40b8a36451413500
11225, 3, e0473014, 22190131, c2ee1952, c2ee1952, c05dc32a5111f500
11405, 1, ff800000, f7f70df3, 7f800000, 7f800000, c05dc32a5111f500
11575, 4, 861829c6, afd9ae25, 0, 0, c05dc32a5111f500
11655, 4, abaa577f, 59efb697, c61f812e, c61f812e, c0c3f025c7dcbd20
11805, 4, 567e5ca5, b6bae073, cdb9ae53, cdb9ae53, c1b735ca66bfc3e0
11965, 1, 75a11b99, 7fc00000, 7fc00000, 7fc00000, c1b735ca66bfc3e0
12145, 1, ab72d0dd, 504bfb5b, bc417a08, bc417a08, bf882f410afdb1e0
12215, 4, 8cb028ec, ddbdce6, 80000000, 80000000, bf882f410afdb1e0
12415, 0, 1cc5c8ae, 1c41aa80, 0, 0, bf882f410afdb1e0
12585, 4, 6012258, 4af1c648, 1173eab3, 1173eab3, 3a2e7d566e6e3000
12705, 1, f7668d89, 4080c33a, f867ed2d, f867ed2d, c70cfda5a2db0280
12795, 3, d98e72fa, 3332e429, cd4715ce, cd4715ce, c1a8e2b9c2c48280
12955, 2, b0347efc, c9802f75, 3a34c1e7, 3a34c1e7, 3f46983cf3934b00
13045, 0, 16712fba, 7fc00000, 7fc00000, 7fc00000, 3f46983cf3934b00
13095, 0, 549d3c63, 42e46473, 580c477a, 580c477a, 430188ef4c998f20
13115, 4, 271b057a, 67464840, 4ef023f9, 4ef023f9, 41de047f29eba000
13305, 2, c6425277, a5e81fe3, 2cb032f0, 2cb032f0, 3d96065e047110a0
13385, 0, 4d0c18cf, b899896d, c6280c11, c6280c11, c0c501822915c8c0
13495, 0, 674f1e68, 355040e0, 5d287d31, 5d287d31, 43a50fa62a936000
13675, 4, 437bdb9e, f21cbbc7, f61a3291, f61a3291, c6c346522f843a40
13705, 1, 7f800000, a144c387, ff800000, ff800000, c6c346522f843a40
13765, 3, 6ae4b436, 49c57055, 75306309, 75306309, 46a60c610aaebdc0
13815, 2, 3441cc28, 334f0c27, 281cbd47, 281cbd47, 3d0397a8edff4300
14015, 0, 1b2d7624, c2e5164c, 9e9b39ca, 9e9b39ca, bbd367393b455600
14135, 0, 2993b87, ca00c4eb, 8d1a2743, 8d1a2743, b9a344e86f403b40
14215, 3, c267bb84, acf1a8c, 8dbb78a7, 8dbb78a7, b9b76f14f03e8600
14255, 1, d248982c, ad944818, 406860ee, 406860ee, 400d0c1dc2a90800
14355, 1, 7fc00000, 712b74aa, 7fc00000, 7fc00000, 400d0c1dc2a90800
14475, 2, 9e54b27f, b6323d35, 151416f6, 151416f6, 3aa282dedbe6e960
14555, 4, 5a5dbdb, ecf87a85, b320fc5d, b320fc5d, be641f8ba332d8e0
14605, 1, 507c4cf8, d87c34dc, e9788fdc, e9788fdc, c52f11fb9290a400
14735, 1, d5ec385f, 6a4e7151, ff800000, ff800000, c52f11fb9290a400
14775, 2, ad8e4312, c69302a4, 34a363f5, 34a363f5, 3e946c7ebfc6e200
14955, 1, e6fc6a91, 97f0e5b5, 3f6d8665, 3f6d8665, 3fedb0ccb761b0a0
15105, 3, b68896f7, d418b38d, 4b22f2df, 4b22f2df, 41645e5bdc76c2c0
15265, 0, 0, c17a0eca, 80000000, 80000000, 41645e5bdc76c2c0
15465, 1, 16cc696, 21c01c23, 0, 0, 41645e5bdc76c2c0
15645, 4, b3180dd6, 24c2dac2, 986778d6, 986778d6, bb0cef1acbae0b00
15845, 0, eb73a830, eef773, ace371e1, ace371e1, bd9c6e3c2b5bb200
15995, 0, 37a2397, bbe8efbb, 80000000, 80000000, bd9c6e3c2b5bb200
16135, 1, 370afa10, f4c0b13e, ec513789, ec513789, c58a26f12367f800
16285, 3, f9b83ef6, ff800000, 7f800000, 7f800000, c58a26f12367f800
16455, 1, d1d80881, c6e66dc1, 59427442, 59427442, 43284e884c6ac820
16645, 4, 3d8e7c19, 816b4e18, 80000000, 80000000, 43284e884c6ac820
16845, 1, 4cafa395, 9b473925, a888af5d, a888af5d, bd1115ebb43a3120
17005, 0, 42d156d4, c1299ead, c48ab413, c48ab413, c09156826050a880
17145, 0, 6c620cd0, 84865605, b16d3d53, b16d3d53, be2da7aa66080400
17245, 2, 129251af, c868684, 0, 0, be2da7aa66080400
17315, 1, 794a6707, 8733e56a, c10e3b6b, c10e3b6b, c021c76d7b9d7cc0
17475, 0, ff800000, 277c965a, ff800000, ff800000, c021c76d7b9d7cc0
17625, 3, 7f0427b0, f280f682, ff800000, ff800000, c021c76d7b9d7cc0
17735, 4, 370808a, 605db190, 245045c7, 245045c7, 3c8a08b8e936f400
17845, 2, 58ce504, 6f5d0afe, 35734f82, 35734f82, 3eae69f04c587e00
18035, 4, cc10fccc, dac2deab, 675cbb5d, 675cbb5d, 44eb976baa711100
18095, 0, a7ca636e, 147028c8, 80000000, 80000000, 44eb976baa711100
18175, 2, 80000000, 9ea28e19, 0, 0, 44eb976baa711100
18305, 4, 3e120383, d2f1fe17, d18a063b, d18a063b, c23140c75da958a0
18425, 2, 33ec0c61, d2eb2951, c758d576, c758d576, c0eb1aaeb6ce7620
18485, 2, 990a7326, c2b259f8, 1c40e971, 1c40e971, 3b881d2e24f0b400
18605, 1, 293d64e8, 6084d59, 0, 0, 3b881d2e24f0b400
18685, 1, d8cf8a83, 4631af06, df900ca9, df900ca9, c3f2019523f98240
18715, 4, c88c0d98, da9707d3, 63a54099, 63a54099, 4474a8131d971200
18905, 0, 31d24fc5, 7ad93f62, 6d3279b0, 6d3279b0, 45a64f3604208d40
19015, 2, 80000000, bd3704fb, 0, 0, 45a64f3604208d40
19095, 1, f4883c2e, 5e8ce578, ff800000, ff800000, 45a64f3604208d40
19255, 2, 2716746a, 4c14c316, 33aedbe9, 33aedbe9, 3e75db7d38afc700
19295, 2, bf1e23af, a21af2dd, 21bf6efb, 21bf6efb, 3c37eddf618f04c0
19335, 1, eef97feb, d34cc78b, 7f800000, 7f800000, 3c37eddf618f04c0
19455, 3, 5743983d, eb226fa5, ff800000, ff800000, 3c37eddf618f04c0
19555, 3, ffc00000, e9a165d3, 7fc00000, 7fc00000, 3c37eddf618f04c0
19735, 1, 9730146f, 0, 80000000, 80000000, 3c37eddf618f04c0
19885, 0, ed54584a, 7f800000, ff800000, ff800000, 3c37eddf618f04c0
20015, 4, ee834296, 80000000, 0, 0, 3c37eddf618f04c0
20145, 4, 8cc09ec, 4e02c74a, 175077c1, 175077c1, 3aea0ef822548e00
20275, 1, 47d83bdc, 7944b79d, 7f800000, 7f800000, 3aea0ef822548e00
20455, 4, f2db925a, da1749dc, 7f800000, 7f800000, 3aea0ef822548e00
20575, 4, 2973068a, 73e0659e, 5dd50630, 5dd50630, 43baa0c60a4f6580
20635, 4, 7f77e0df, 6459d630, 7f800000, 7f800000, 43baa0c60a4f6580
20715, 0, b49d10d9, efd3ba9, 841b5e41, 841b5e41, b8836bc820e44820
20885, 4, dab9aca3, 55f612a6, f132796b, f132796b, c6264f2d656cf640
20945, 4, f528c2bb, 6993e5f7, ff800000, ff800000, c6264f2d656cf640
20995, 3, cb654aed, 12a15035, 9e907bf5, 9e907bf5, bbd20f7ebdf26220
21075, 4, 83b5039f, 1aa9abd5, 80000000, 80000000, bbd20f7ebdf26220
21235, 1, c24527fb, 69ebaeba, ecb58243, ecb58243, c596b0487a94cbc0
21315, 0, 5d7f7227, 9a7389ac, b87302bb, b87302bb, bf0e605757922680
21345, 3, fa8bb10c, 9807ea53, 53145475, 53145475, 42628a8e9cd7b900
21455, 0, 9bc28363, 771ec415, d3714427, d3714427, c26e2884e9a4c7c0
21645, 0, 6bc44d62, 13442c2b, 3f966d1d, 3f966d1d, 3ff2cda3a9baeec0
21845, 2, 80000000, 2ee70685, 80000000, 80000000, 3ff2cda3a9baeec0
22035, 3, 7bbb534f, 3d193554, 796037a0, 796037a0, 472c06f3fb6c3b00
22205, 0, 319c6223, cbf7e68c, be176f85, be176f85, bfc2edf0aec3a480
22265, 0, 1d4e8f5a, 7fc00000, 7fc00000, 7fc00000, bfc2edf0aec3a480
22395, 4, f6c224ed, 501127db, ff800000, ff800000, bfc2edf0aec3a480
22595, 0, 4bff5cee, 9b9f13af, a81eae5a, a81eae5a, bd03d5cb49061640
22625, 2, bfbdab4e, 5d48e3f3, dd94d6b8, dd94d6b8, c3b29ad6fbf8a140
22675, 3, f8f6e7d8, 30a5d2cd, ea1feebe, ea1feebe, c543fdd7c3daff00
22865, 2, 618b8bc7, 18378300, 3a4810a7, 3a4810a7, 3f490214f1f54000
22965, 0, 7fc00000, 19971a5f, 7fc00000, 7fc00000, 3f490214f1f54000
23055, 3, 8df85b41, ddbc8a8c, 2c36e96d, 2c36e96d, 3d86dd2d97de3180
23125, 4, deba120, 9e25b2f2, 80000000, 80000000, 3d86dd2d97de3180
23185, 2, 1d4b3325, 7f800000, 7f800000, 7f800000, 3d86dd2d97de3180
23355, 3, 2aa20188, 9912cb39, 8439caf5, 8439caf5, b887395eb64bd200
23455, 4, a393f721, 55dedbfb, ba00cf74, ba00cf74, bf4019ee83510b60
23615, 4, db310737, e4d6d807, 7f800000, 7f800000, bf4019ee83510b60
23775, 4, fa55c440, 1ba8e482, d68d0799, d68d0799, c2d1a0f32ad51000
23955, 0, bde578fd, 23a933de, a217ab5d, a217ab5d, bc42f56ba3ca4cc0
24075, 1, ed2a3333, ba7daff, b95f31fe, b95f31fe, bf2be63fd9db7340
24185, 3, b295b56e, 7177251f, e49087c2, e49087c2, c49210f84f7bca40
24245, 4, 3ffe6d1a, d17e72eb, d1fce276, d1fce276, c23f9c4ebdf75bc0
24335, 4, ba2b492, 31058e91, 0, 0, c23f9c4ebdf75bc0
24475, 4, 339bfb4a, f1ad091d, e5d2dcbd, e5d2dcbd, c4ba5b97a0c45880
24535, 2, 7fc00000, 22033dab, 7fc00000, 7fc00000, c4ba5b97a0c45880
24585, 1, a93fc463, b617bbe, 80000000, 80000000, c4ba5b97a0c45880
24715, 3, 5752b09c, b2a169c5, ca84d81e, ca84d81e, c1509b03d5bc8180
24865, 3, 1866cb71, f69f16ba, cf8f6cd8, cf8f6cd8, c1f1ed9b0b50c340
24885, 1, 2edbcc6d, 80000000, 80000000, 80000000, c1f1ed9b0b50c340
24905, 1, 6e36a0f7, 6d542e4e, 7f800000, 7f800000, c1f1ed9b0b50c340
24935, 1, d5493e0d, 931c3365, 28f5946d, 28f5946d, 3d1eb28dab848840
25115, 4, db18b919, 4006b2b9, dba0b704, dba0b704, c37416e089c94440
25165, 4, 6947d88a, 73dbf389, 7f800000, 7f800000, c37416e089c94440
25325, 0, f4472851, 3ef22048, f3bc5d3a, f3bc5d3a, c6778ba733eed900
25405, 0, bf666f8c, 3352fd09, b33deb45, b33deb45, be67bd68a5e8fd80
25555, 0, f03d5e74, 1eb514c3, cf85f324, cf85f324, c1f0be6474804b80
25705, 4, c8f5cef7, 6efb25c9, f8712634, f8712634, c70e24c682c65de0
25795, 0, 538820ca, 927ce713, a6867b27, a6867b26, bcd0cf64d1169fc0
25935, 1, 66148e5c, e56bf20b, ff800000, ff800000, bcd0cf64d1169fc0
26065, 2, 5dfea2a1, fbe54296, ff800000, ff800000, bcd0cf64d1169fc0
26195, 4, d5d96dbf, c2214a38, 5888fd0e, 5888fd0e, 43111fa1cd06f900
26385, 0, 840879c6, 51f0476e, 9680183e, 9680183e, bad00307c147a280
26485, 4, 9fc99f33, e4231f45, 448078fe, 448078fe, 40900f1fc302b7e0
26585, 1, 697d11fc, f4448ab, 3942099b, 3942099b, 3f284133613c6a80
26755, 1, 6e142be9, 67053e08, 7f800000, 7f800000, 3f284133613c6a80
26885, 1, 358394c8, ae4b5b53, a4510bd6, a4510bd6, bc8a217ac9153600
26955, 0, 1544426e, 3ebd66bf, 149133d0, 149133d0, 3a92267a036c8240
27065, 4, afd52932, 8795545e, 0, 0, 3a92267a036c8240
27135, 0, ab8d084a, e1c86f46, 4ddcd78e, 4ddcd78e, 41bb9af1be168f00
27255, 3, 5ba4802, 9ccd5f64, 80000000, 80000000, 41bb9af1be168f00
27315, 3, 9559b628, 3e06e227, 93e56b59, 93e56b59, ba7cad6b3a840600
27405, 1, f62ab52b, 27e75647, de9a4302, de9a4302, c3d3486040361da0
27435, 3, 2810a9be, ffc00000, 7fc00000, 7fc00000, c3d3486040361da0
27535, 2, 93eb51f2, 9122fda7, 0, 0, c3d3486040361da0
27595, 1, 542f0fc0, d6048247, eab53a6b, eab53a6b, c556a74d63379000
27685, 2, 3a4f1e8d, 0, 0, 0, c556a74d63379000
27745, 2, 983847ac, e86a0a21, 412878cd, 412878cd, 40250f19b8bea580
27775, 0, a312c21d, 6d6f7808, d1094809, d1094809, c221290114d51d00
27885, 2, ac90f3af, 1a330b0, 80000000, 80000000, c221290114d51d00
28085, 1, f42b55df, fdccd21f, 7f800000, 7f800000, c221290114d51d00
28205, 3, bbe38c7, 7fc00000, 7fc00000, 7fc00000, c221290114d51d00
28345, 2, 2cb3c722, 26b8ada4, 1401b111, 1401b111, 3a80362225b17900
28465, 3, c95cbb4b, c9723a61, 5350db63, 5350db63, 426a1b6c5efead60
28515, 3, b64d93d3, 8e7b5ae5, 549d8ee, 549d8ee, 38a93b1db7cd37e0
28635, 3, d09bda71, c1c87b93, 52f41bc8, 52f41bc8, 425e8378eeae78c0
28795, 0, 98c746a0, 8c97b216, 0, 0, 425e8378eeae78c0
28865, 3, 29a1af5d, 467f2b79, 30a12923, 30a12923, 3e14252450703ea0
29015, 3, b879fea8, 7e5acb18, f755a92f, f755a92f, c6eab525ede2f800
29095, 3, 2d479232, af4416a2, 9d18dd93, 9d18dd93, bba31bb26459f480
29165, 0, a0084e56, a96e7c49, 9fdf602, 9fdf602, 393fbec030ffa180
29265, 4, d8c21bd9, 12fb3ed5, ac3e80f2, ac3e80f2, bd87d01e405731a0
29345, 4, d4b52603, 6bc09f5c, ff800000, ff800000, bd87d01e405731a0
29525, 1, 5599520, f52c9f7e, bb12b7c0, bb12b7c0, bf6256f806c8b800
29635, 1, b3e9175c, 1bba787b, 9029c8ab, 9029c8ab, ba053915792b2680
29815, 2, abc6bb4a, b3025a1e, 1f4a6221, 1f4a6221, 3be94c442d7dab00
29995, 0, 0, 912c23a0, 80000000, 80000000, 3be94c442d7dab00
30075, 0, 80000000, 72332496, 80000000, 80000000, 3be94c442d7dab00
30155, 3, d96dc38c, 7b5f78ff, ff800000, ff800000, 3be94c442d7dab00
30265, 4, 372ed41f, 81377a5d, 80000000, 80000000, 3be94c442d7dab00
30305, 2, 3c69bb0e, eb0c1784, e7ffcf88, e7ffcf88, c4fff9f0fead4e00
30405, 0, 0, 72a0bd4c, 0, 0, c4fff9f0fead4e00
30565, 2, db678e68, 70f2cd77, ff800000, ff800000, c4fff9f0fead4e00
30635, 3, e8534e12, 15987e2c, be7bbcfe, be7bbcfe, bfcf779fdb91c600
30775, 2, 8d079ee9, 256eca96, 80000000, 80000000, bfcf779fdb91c600
30875, 2, ed229a47, 14d762a3, c288ce39, c288ce39, c05119c7070d26a0
31055, 4, 859e1124, ef5473fb, 35832dce, 35832dce, 3eb065b9cfbf4980
31245, 0, ff1fbda8, fb88d40a, 7f800000, 7f800000, 3eb065b9cfbf4980
31285, 4, ff800000, ab9ec119, 7f800000, 7f800000, 3eb065b9cfbf4980
31315, 0, 7f800000, 8ae50d3d, ff800000, ff800000, 3eb065b9cfbf4980
31505, 0, 60886993, f96abf6a, ff800000, ff800000, 3eb065b9cfbf4980
31695, 4, 6a26768e, e8d39633, ff800000, ff800000, 3eb065b9cfbf4980
31735, 0, 6fe947ed, 3ae6c2f9, 6b52484a, 6b52484a, 456a49094ad1f0a0
31815, 1, ab3819aa, 6fd89add, db9bc505, db9bc505, c37378a0b9cd7840
31835, 4, 2b01b54d, 1471179e, 0, 0, c37378a0b9cd7840
31995, 4, 75d54f72, 309b2b93, 67014b69, 67014b69, 44e0296d1b588ec0
32195, 0, 41ed315c, 710b0f2, 9860fb6, 9860fb6, 3930c1f6bcfd1f00
32255, 1, 1b406e97, 0, 0, 0, 3930c1f6bcfd1f00
32415, 0, 86f85c9a, 957dd829, 0, 0, 3930c1f6bcfd1f00
32485, 3, e242fb65, a88c0325, 4b5547c1, 4b5547c1, 416aa8f817212640
32665, 0, 8e22b12a, 7b6dd692, ca172661, ca172661, c142e4cc1884be80
32765, 0, 0, 188a62b3, 0, 0, c142e4cc1884be80
32855, 4, 7fc00000, f09abb91, 7fc00000, 7fc00000, c142e4cc1884be80
32935, 0, 31410fab, dbe6c9e1, cdae0c53, cdae0c52, c1b5c18a53c10960
33075, 1, 260410a0, 10e4d3d1, 0, 0, c1b5c18a53c10960
33245, 0, 1a3c45f0, 2105e541, 0, 0, c1b5c18a53c10960
33405, 3, 8e839f65, 7d2e78bd, cc3368d5, cc3368d5, c1866d1aa2816440
33595, 2, 62659a15, ff800000, ff800000, ff800000, c1866d1aa2816440
33715, 0, a151437e, 6736cfcc, c9156fd8, c9156fd8, c122adfafd154d00
33855, 0, 11113796, fbc930bf, cd644097, cd644097, c1ac8812e2a63a80
33955, 2, 17ce6bf5, 33392210, b95477b, b95477b, 3972a8ef69492a00
34145, 3, 0, d87fa798, 80000000, 80000000, 3972a8ef69492a00
34275, 4, 53c364b6, 7d2de690, 7f800000, 7f800000, 3972a8ef69492a00
34375, 1, 8a4f957c, 87566b68, 0, 0, 3972a8ef69492a00
34415, 1, d33f6c54, 45337222, d9062e16, d9062e16, c320c5c2ccb96500
34485, 3, edfd7dc3, def9d069, 7f800000, 7f800000, c320c5c2ccb96500
34505, 0, 4d5a1a47, 48c52403, 56a7f4e7, 56a7f4e7, 42d4fe9cdc695aa0
34645, 0, 5ec3179d, 6a0d826f, 7f800000, 7f800000, 42d4fe9cdc695aa0
34765, 2, d09e470f, 6a7cda3, 97cf7efd, 97cf7efd, baf9efdf9dd06340
34815, 2, 413e5456, e9e2c8ab, eba89ba5, eba89ba5, c57513749e30ae40
34975, 4, ec42720b, 4ecdfffc, fb9c77c2, fb9c77c2, c7738ef83a06fa80
35035, 2, 7f800000, be1a9a0d, ff800000, ff800000, c7738ef83a06fa80
35205, 0, e524b4f, 7f800000, 7f800000, 7f800000, c7738ef83a06fa80
35295, 4, 1333428c, 610a39f3, 34c194e7, 34c194e7, 3e98329cdc55b900
35345, 0, e0a3809, b5116cac, 839d08d3, 839d08d3, b873a11a669c8300
35475, 1, 45ac91a1, 798d3340, 7f800000, 7f800000, b873a11a669c8300
35545, 0, 7782dccc, da794cb7, ff800000, ff800000, b873a11a669c8300
35715, 4, 43eaee95, 5a5dc590, 5ecb8544, 5ecb8544, 43d970a88bfb9a00
